stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1740,MEMORIAL DR @ WILCREST DR,,29.77279,-95.58013,,
1741,CAVALCADE ST @ RUSSELL ST,,29.80006,-95.33273,,
1742,TIDWELL RD @ SHOREHAM ST,,29.848043,-95.344673,,
1743,WAYSIDE DR @ MILLARD ST,,29.803515,-95.2845,,
1744,WAYSIDE DR @ LOOP,,29.804014,-95.284721,,
1745,EASTEX FREEWAY   @ BAY ST,,29.800033,-95.339234,,
1746,LOOP   @ GELLHORN DR,,29.785182,-95.264596,,
1747,LOOP   @ GELLHORN DR,,29.788776,-95.266098,,
1748,LOOP   @ GELLHORN DR,,29.790611,-95.26682,,
1749,LOOP   @ BANNER DR,,29.796655,-95.270287,,
1750,LOOP   @ CITYPARK LOOP,,29.798525,-95.273239,,
1751,SAN JACINTO ST @ CLEBURNE ST,,29.734828,-95.379822,,
1753,20TH ST @ DURHAM DR,,29.80378,-95.41471,,
1754,COOK RD @ DASHWOOD DR,,29.70743,-95.59621,,
1756,RICHMOND AVE @ CASETA DR,,29.7303,-95.650296,,
1758,WESTLAKE PARK BLVD @ GRACIE ST,,29.780582,-95.630134,,
1759,WESTHEIMER RD @ OLD FARM RD,,29.737357,-95.510327,,
1760,WESTHEIMER RD @ OLD FARM RD,,29.737639,-95.512175,,
1761,DIVIDEND DR @ CURRENCY ST,,29.780375,-95.260338,,
1762,CURRENCY ST @ LOOP,,29.779679,-95.262291,,
1763,GELLHORN DR @ LOOP,,29.78435,-95.26575,,
1764,GELLHORN DR @ LOOP,,29.78222,-95.27017,,
1765,GELLHORN DR @ LOOP,,29.77987,-95.27158,,
1766,GELLHORN DR @ EAST FREEWAY,,29.77746,-95.2721,,
1767,GELLHORN DR @ EAST FREEWAY,,29.7747,-95.27291,,
1768,GELLHORN DR @ MARKET ST,,29.77102,-95.27306,,
1769,PLEASANTVILLE DR @ MARKET ST,,29.770781,-95.27761,,
1770,PLEASANTVILLE DR @ MARKET ST,,29.76942,-95.2769,,
1771,PLEASANTVILLE DR @ TILGHAM ST,,29.76623,-95.27605,,
1772,TILGHAM ST @ GELLHORN DR,,29.76584,-95.27291,,
1773,TILGHAM ST @ LEDWICKE,,29.765512,-95.270416,,
1774,LEDWICKE   @ PATTIBOB,,29.7634,-95.27013,,
1775,LEDWICKE   @ FLOSSIE MAE,,29.76193,-95.2701,,
1776,LEDWICKE   @ GUINEVERE ST,,29.76043,-95.27004,,
1777,GELLHORN DR @ GUINEVERE ST,,29.759867,-95.272849,,
1778,GELLHORN DR @ BUCROFT,,29.75746,-95.27277,,
1779,BUCROFT   @ SILVERDALE,,29.75734,-95.27472,,
1780,PLEASANTVILLE DR @ GUINEVERE ST,,29.75951,-95.27582,,
1781,GUINEVERE ST @ DEMAREE LN,,29.75961,-95.27747,,
1782,MUNN ST @ DEMAREE LN,,29.76124,-95.27809,,
1784,MARKET ST @ MC CARTY ST,,29.77224,-95.28368,,
1785,GELLHORN DR @ MARKET ST,,29.77126,-95.27282,,
1786,GELLHORN DR @ MARKET ST,,29.7743,-95.27276,,
1787,GELLHORN DR @ EAST FREEWAY,,29.77639,-95.27207,,
1788,GELLHORN DR @ EAST FREEWAY,,29.77953,-95.27142,,
1789,GELLHORN DR @ EAST FREEWAY,,29.78192,-95.27015,,
1790,GELLHORN DR @ LOOP,,29.7842,-95.26551,,
1791,GELLHORN DR @ WOODFOREST BLVD,,29.785435,-95.261619,,
1792,WOODFOREST BLVD @ DIVIDEND DR,,29.78462,-95.260406,,
1793,WALLISVILLE RD @ MANITOU DR,,29.79183,-95.26458,,
1794,WALLISVILLE RD @ MESA DR,,29.79241,-95.25922,,
1795,WALLISVILLE RD @ TRAILMOBILE DR,,29.79336,-95.25443,,
1796,WALLISVILLE RD @ OATES RD,,29.794812,-95.24641,,
1797,OATES RD @ WALLISVILLE RD,,29.79865,-95.24107,,
1798,OATES RD @ DEBRA RD,,29.80505,-95.24041,,
1799,OATES RD @ PANDORA ST,,29.80788,-95.24046,,
1800,OATES RD @ PENELOPE ST,,29.8101,-95.24046,,
1801,OATES RD @ OAK BROOK DR,,29.81221,-95.24048,,
1802,OATES RD @ OAK BROOK DR,,29.81239,-95.24062,,
1803,OATES RD @ PENELOPE ST,,29.81039,-95.24063,,
1804,OATES RD @ PANDORA ST,,29.80827,-95.24059,,
